year,state_abb,local police department,sheriffs office,other
1968,ME,10369.0,1797.0,0.0
1968,MI,285862.0,35382.0,0.0
1968,MN,95941.0,11243.0,0.0
1968,MO,150389.0,8974.0,0.0
1968,MS,15920.0,1803.0,0.0
1968,MT,10808.0,5286.0,0.0
1968,NC,64716.0,18413.0,0.0
1968,ND,6959.0,1601.0,0.0
1968,NE,29262.0,3631.0,0.0
1968,NH,7116.0,324.0,0.0
1968,NJ,222612.0,0.0,0.0
1968,NM,32018.0,1937.0,0.0
1968,NV,17648.0,553.0,0.0
1968,NY,724003.0,46002.0,0.0
1968,OH,247747.0,29758.0,0.0
1968,OK,53328.0,3116.0,0.0
1968,OR,53419.0,16675.0,0.0
1968,PA,184939.0,521.0,0.0
1968,RI,34786.0,0.0,0.0
1968,SC,23210.0,16488.0,0.0
1968,SD,7730.0,2439.0,0.0
1968,TN,65025.0,7745.0,0.0
1968,TX,326669.0,18551.0,0.0
1968,UT,33268.0,2034.0,0.0
1968,VA,86304.0,25019.0,0.0
1968,VT,2531.0,67.0,0.0
1968,WA,92615.0,36111.0,0.0
1968,WI,81947.0,14941.0,0.0
1968,WV,12912.0,0.0,0.0
1968,WY,5869.0,1559.0,0.0
1969,AK,6377.0,0.0,0.0
1969,AL,53784.0,5320.0,0.0
1969,AR,27199.0,5621.0,0.0
1969,AZ,77991.0,8561.0,0.0
1969,CA,919774.0,244203.0,0.0
1969,CO,72827.0,17574.0,0.0
1969,CT,89357.0,0.0,0.0
1969,DC,83023.0,0.0,0.0
1969,DE,9952.0,0.0,0.0
1969,FL,229806.0,53658.0,0.0
1969,GA,65278.0,24691.0,0.0
1969,HI,34708.0,0.0,0.0
1969,IA,49459.0,8704.0,0.0
1969,ID,14707.0,3960.0,0.0
1969,IL,341098.0,24427.0,0.0
1969,IN,117301.0,19722.0,0.0
1969,KS,63285.0,8862.0,0.0
1969,KY,46184.0,13055.0,0.0
1969,LA,73490.0,24741.0,0.0
1969,MA,178439.0,0.0,0.0
1969,MD,91047.0,70985.0,0.0
1969,ME,11770.0,2317.0,0.0
1969,MI,334794.0,35319.0,0.0
1969,MN,101188.0,11338.0,0.0
1969,MO,175252.0,9363.0,0.0
1969,MS,16917.0,1518.0,0.0
1969,MT,11997.0,5225.0,0.0
1969,NC,71158.0,21157.0,0.0
1969,ND,7272.0,1628.0,0.0
1969,NE,30296.0,3488.0,0.0
1969,NH,7886.0,611.0,0.0
1969,NJ,223234.0,6676.0,0.0
1969,NM,35072.0,5269.0,0.0
1969,NV,19911.0,1082.0,0.0
1969,NY,723767.0,52657.0,0.0
1969,OH,286392.0,31172.0,0.0
1969,OK,54417.0,6122.0,0.0
1969,OR,60389.0,22543.0,0.0
1969,PA,191065.0,511.0,0.0
1969,RI,36630.0,0.0,0.0
1969,SC,29461.0,18422.0,0.0
1969,SD,7769.0,2209.0,0.0
1969,TN,65725.0,8675.0,0.0
1969,TX,380063.0,22152.0,0.0
1969,UT,37819.0,2434.0,0.0
1969,VA,94276.0,28151.0,0.0
1969,VT,2934.0,19.0,0.0
1969,WA,110832.0,42143.0,0.0
1969,WI,86146.0,15865.0,0.0
1969,WV,11693.0,0.0,0.0
1969,WY,6428.0,1640.0,0.0
1970,AK,7144.0,0.0,0.0
1970,AL,60853.0,6095.0,0.0
1970,AR,27865.0,5404.0,0.0
1970,AZ,91947.0,9297.0,0.0
1970,CA,988059.0,268041.0,0.0
1970,CO,95882.0,16812.0,0.0
1970,CT,97016.0,0.0,0.0
1970,DC,82341.0,0.0,0.0
1970,DE,13439.0,0.0,0.0
1970,FL,279040.0,64433.0,0.0
1970,GA,78016.0,26667.0,0.0
1970,HI,38726.0,0.0,0.0
1970,IA,54462.0,9921.0,0.0
1970,ID,16699.0,5218.0,0.0
1970,IL,375292.0,24952.0,0.0
1970,IN,136195.0,20939.0,0.0
1970,KS,70912.0,10486.0,0.0
1970,KY,54654.0,20845.0,0.0
1970,LA,85447.0,26074.0,0.0
1970,MA,198800.0,0.0,0.0
1970,MD,93717.0,76756.0,0.0
1970,ME,13368.0,2424.0,0.0
1970,MI,401339.0,69849.0,0.0
1970,MN,106246.0,13465.0,0.0
1970,MO,175089.0,9593.0,0.0
1970,MS,20807.0,1016.0,0.0
1970,MT,12498.0,5361.0,0.0
1970,NC,81758.0,21848.0,0.0
1970,ND,8321.0,1840.0,0.0
1970,NE,32249.0,3594.0,0.0
1970,NH,9712.0,1117.0,0.0
1970,NJ,248605.0,0.0,0.0
1970,NM,35888.0,4496.0,0.0
1970,NV,23705.0,1447.0,0.0
1970,NY,779163.0,58120.0,0.0
1970,OH,317649.0,41085.0,0.0
1970,OK,60726.0,6960.0,0.0
1970,OR,68276.0,26365.0,0.0
1970,PA,207353.0,710.0,0.0
1970,RI,39924.0,0.0,0.0
1970,SC,32397.0,20099.0,0.0
1970,SD,9075.0,2440.0,0.0
1970,TN,71600.0,7507.0,0.0
1970,TX,404396.0,22482.0,0.0
1970,UT,39831.0,2691.0,0.0
1970,VA,109347.0,35411.0,0.0
1970,VT,4068.0,63.0,0.0
1970,WA,113159.0,46371.0,0.0
1970,WI,96436.0,19670.0,0.0
1970,WV,13370.0,0.0,0.0
1970,WY,7089.0,1993.0,0.0
1971,AK,9581.0,0.0,0.0
1971,AL,62637.0,7024.0,0.0
1971,AR,26731.0,5727.0,0.0
1971,AZ,95360.0,10172.0,0.0
1971,CA,1097486.0,243336.0,0.0
1971,CO,99821.0,16536.0,0.0
1971,CT,104875.0,0.0,0.0
1971,DC,70516.0,0.0,0.0
1971,DE,17477.0,0.0,0.0
1971,FL,314406.0,87969.0,0.0
1971,GA,107518.0,9514.0,0.0
1971,HI,39364.0,0.0,0.0
1971,IA,58247.0,9337.0,0.0
1971,ID,20025.0,4919.0,0.0
1971,IL,382238.0,26418.0,0.0
1971,IN,136174.0,17677.0,0.0
1971,KS,67712.0,10194.0,0.0
1971,KY,65490.0,8754.0,0.0
1971,LA,87816.0,28092.0,0.0
1971,MA,237462.0,0.0,0.0
1971,MD,176531.0,3147.0,0.0
1971,ME,14092.0,2963.0,0.0
1971,MI,429288.0,78677.0,0.0
1971,MN,119279.0,14623.0,0.0
1971,MO,161832.0,20005.0,0.0
1971,MS,26725.0,2631.0,0.0
1971,MT,13879.0,5600.0,0.0
1971,NC,86891.0,21984.0,0.0
1971,ND,10045.0,2231.0,0.0
1971,NE,31964.0,5261.0,0.0
1971,NH,11415.0,989.0,0.0
1971,NJ,281386.0,0.0,0.0
1971,NM,41666.0,5435.0,0.0
1971,NV,23738.0,1398.0,0.0
1971,NY,850866.0,19441.0,0.0
1971,OH,323641.0,45284.0,0.0
1971,OK,64070.0,7194.0,0.0
1971,OR,75392.0,28346.0,0.0
1971,PA,240211.0,120.0,0.0
