year,state_abb,agency_type,agencies,officers,total_staff
1962,MA,state law enforcement agency,1,0.0,0.0
1962,MD,local police department,44,4674.0,5178.0
1962,MD,sheriffs office,23,17.0,17.0
1962,MD,special jurisdiction,1,0.0,0.0
1962,MD,state law enforcement agency,1,0.0,0.0
1962,ME,local police department,70,556.0,610.0
1962,ME,sheriffs office,16,56.0,59.0
1962,ME,state law enforcement agency,1,235.0,279.0
1962,MI,local police department,193,8693.0,9636.0
1962,MI,sheriffs office,83,1025.0,1114.0
1962,MI,special jurisdiction,1,0.0,0.0
1962,MI,state law enforcement agency,1,1108.0,1405.0
1962,MN,local police department,128,2266.0,2459.0
1962,MN,sheriffs office,87,427.0,450.0
1962,MO,local police department,148,3983.0,4865.0
1962,MO,sheriffs office,114,324.0,365.0
1962,MS,local police department,63,591.0,674.0
1962,MS,sheriffs office,82,4.0,5.0
1962,MT,local police department,28,289.0,332.0
1962,MT,sheriffs office,57,196.0,203.0
1962,NC,local police department,109,2547.0,2775.0
1962,NC,sheriffs office,100,176.0,183.0
1962,ND,local police department,15,272.0,295.0
1962,ND,sheriffs office,53,81.0,84.0
1962,NE,local police department,44,744.0,850.0
1962,NE,sheriffs office,93,149.0,193.0
1962,NH,local police department,35,440.0,463.0
1962,NH,sheriffs office,10,8.0,8.0
1962,NH,state law enforcement agency,1,0.0,0.0
1962,NJ,local police department,338,9737.0,10421.0
1962,NJ,sheriffs office,21,0.0,0.0
1962,NJ,special jurisdiction,1,0.0,0.0
1962,NJ,state law enforcement agency,1,0.0,0.0
1962,NM,local police department,33,595.0,700.0
1962,NM,sheriffs office,32,72.0,90.0
1962,NM,special jurisdiction,3,6.0,6.0
1962,NM,state law enforcement agency,1,0.0,0.0
1962,NV,local police department,11,382.0,460.0
1962,NV,sheriffs office,16,57.0,65.0
1962,NY,constable/marshal,1,0.0,0.0
1962,NY,local police department,291,35496.0,37578.0
1962,NY,sheriffs office,60,890.0,1038.0
1962,NY,special jurisdiction,2,0.0,0.0
1962,OH,local police department,293,8130.0,9069.0
1962,OH,sheriffs office,88,616.0,758.0
1962,OH,special jurisdiction,1,0.0,0.0
1962,OK,local police department,92,1333.0,1511.0
1962,OK,sheriffs office,77,130.0,132.0
1962,OR,local police department,57,1286.0,1497.0
1962,OR,sheriffs office,36,183.0,208.0
1962,PA,local police department,499,11304.0,12306.0
1962,PA,sheriffs office,67,44.0,68.0
1962,PA,state law enforcement agency,1,0.0,0.0
1962,RI,local police department,30,1083.0,1177.0
1962,RI,sheriffs office,2,0.0,0.0
1962,RI,state law enforcement agency,1,0.0,0.0
1962,SC,local police department,72,1011.0,1121.0
1962,SC,sheriffs office,46,20.0,23.0
1962,SC,special jurisdiction,1,0.0,0.0
1962,SD,local police department,27,253.0,277.0
1962,SD,sheriffs office,67,48.0,52.0
1962,TN,local police department,81,1785.0,2038.0
1962,TN,sheriffs office,94,54.0,55.0
1962,TX,local police department,314,6952.0,8090.0
1962,TX,sheriffs office,254,598.0,661.0
1962,UT,local police department,41,489.0,555.0
1962,UT,sheriffs office,28,41.0,48.0
1962,VA,local police department,75,2668.0,2976.0
1962,VA,sheriffs office,94,205.0,228.0
1962,VA,state law enforcement agency,1,0.0,0.0
1962,VT,local police department,25,156.0,162.0
1962,VT,sheriffs office,14,0.0,0.0
1962,VT,state law enforcement agency,1,0.0,0.0
1962,WA,local police department,77,2194.0,2477.0
1962,WA,sheriffs office,39,417.0,434.0
1962,WI,local police department,133,4007.0,4273.0
1962,WI,sheriffs office,72,612.0,668.0
1962,WV,local police department,58,453.0,500.0
1962,WV,sheriffs office,55,0.0,0.0
1962,WY,local police department,20,209.0,278.0
1962,WY,sheriffs office,23,69.0,91.0
1963,AK,local police department,6,116.0,145.0
1963,AK,state law enforcement agency,1,0.0,0.0
1963,AL,local police department,106,1483.0,1678.0
1963,AL,sheriffs office,67,165.0,238.0
1963,AR,local police department,66,588.0,644.0
1963,AR,sheriffs office,75,42.0,55.0
1963,AZ,local police department,33,1299.0,1520.0
1963,AZ,sheriffs office,14,262.0,262.0
1963,CA,local police department,362,17209.0,20589.0
1963,CA,sheriffs office,58,3463.0,4272.0
1963,CA,special jurisdiction,3,59.0,60.0
1963,CO,local police department,48,1467.0,1724.0
1963,CO,sheriffs office,63,335.0,372.0
1963,CT,local police department,98,3407.0,3628.0
1963,CT,state law enforcement agency,1,0.0,0.0
1963,DC,federal,1,31.0,31.0
1963,DC,local police department,1,2910.0,3129.0
1963,DE,local police department,11,292.0,333.0
1963,DE,sheriffs office,2,0.0,0.0
1963,DE,state law enforcement agency,1,0.0,0.0
1963,FL,local police department,146,4968.0,6298.0
1963,FL,sheriffs office,66,635.0,829.0
1963,GA,constable/marshal,3,29.0,30.0
1963,GA,local police department,121,2304.0,2554.0
1963,GA,sheriffs office,159,132.0,138.0
1963,HI,local police department,13,462.0,490.0
1963,HI,special jurisdiction,1,0.0,0.0
1963,IA,local police department,104,1320.0,1532.0
1963,IA,sheriffs office,99,260.0,290.0
1963,ID,local police department,32,377.0,426.0
1963,ID,sheriffs office,44,141.0,161.0
1963,IL,local police department,329,3934.0,4386.0
1963,IL,sheriffs office,102,646.0,712.0
1963,IN,local police department,134,3210.0,3524.0
1963,IN,sheriffs office,92,501.0,548.0
1963,IN,state law enforcement agency,1,0.0,0.0
1963,KS,local police department,89,993.0,1144.0
1963,KS,sheriffs office,102,364.0,394.0
1963,KY,local police department,89,1574.0,1763.0
1963,KY,sheriffs office,120,129.0,135.0
1963,LA,local police department,87,1977.0,2140.0
1963,LA,sheriffs office,64,375.0,436.0
1963,LA,state law enforcement agency,1,0.0,0.0
1963,MA,local police department,236,8275.0,8770.0
1963,MA,sheriffs office,14,0.0,0.0
1963,MA,state law enforcement agency,1,0.0,0.0
1963,MD,local police department,44,4871.0,5353.0
1963,MD,sheriffs office,23,15.0,16.0
1963,MD,special jurisdiction,1,19.0,32.0
1963,MD,state law enforcement agency,1,0.0,0.0
1963,ME,local police department,70,571.0,626.0
1963,ME,sheriffs office,16,52.0,56.0
1963,ME,state law enforcement agency,1,0.0,0.0
1963,MI,local police department,196,8436.0,9299.0
1963,MI,sheriffs office,83,968.0,1054.0
1963,MI,special jurisdiction,1,28.0,33.0
1963,MI,state law enforcement agency,1,0.0,0.0
1963,MN,local police department,129,2405.0,2617.0
1963,MN,sheriffs office,87,454.0,486.0
1963,MO,local police department,149,4017.0,4893.0
1963,MO,sheriffs office,114,371.0,426.0
1963,MS,local police department,63,630.0,707.0
1963,MS,sheriffs office,82,30.0,43.0
1963,MT,local police department,32,329.0,379.0
1963,MT,sheriffs office,57,281.0,309.0
1963,NC,local police department,110,2597.0,2814.0
1963,NC,sheriffs office,100,218.0,236.0
1963,ND,local police department,15,283.0,309.0
1963,ND,sheriffs office,53,113.0,122.0
1963,NE,local police department,44,780.0,894.0
1963,NE,sheriffs office,93,183.0,237.0
1963,NH,local police department,35,418.0,440.0
1963,NH,sheriffs office,10,3.0,4.0
1963,NH,state law enforcement agency,1,0.0,0.0
1963,NJ,local police department,341,9782.0,10551.0
1963,NJ,sheriffs office,21,0.0,0.0
1963,NJ,special jurisdiction,1,28.0,28.0
1963,NJ,state law enforcement agency,1,0.0,0.0
1963,NM,local police department,33,655.0,772.0
1963,NM,sheriffs office,32,68.0,81.0
1963,NM,special jurisdiction,3,13.0,14.0
1963,NM,state law enforcement agency,1,0.0,0.0
1963,NV,local police department,11,561.0,653.0
1963,NV,sheriffs office,16,95.0,99.0
1963,NY,constable/marshal,1,0.0,0.0
1963,NY,local police department,294,39436.0,41427.0
1963,NY,sheriffs office,60,872.0,996.0
1963,NY,special jurisdiction,2,59.0,65.0
1963,OH,local police department,296,7774.0,8671.0
1963,OH,sheriffs office,88,804.0,962.0
1963,OH,special jurisdiction,1,0.0,0.0
1963,OK,local police department,92,1340.0,1501.0
1963,OK,sheriffs office,77,228.0,247.0
1963,OR,local police department,59,1343.0,1556.0
1963,OR,sheriffs office,36,451.0,514.0
1963,PA,local police department,502,11243.0,12260.0
1963,PA,sheriffs office,67,4.0,4.0
1963,PA,state law enforcement agency,1,0.0,0.0
1963,RI,local police department,30,1074.0,1166.0
1963,RI,sheriffs office,2,0.0,0.0
1963,RI,state law enforcement agency,1,0.0,0.0
1963,SC,local police department,72,983.0,1090.0
1963,SC,sheriffs office,46,57.0,60.0
1963,SC,special jurisdiction,1,0.0,0.0
1963,SD,local police department,27,297.0,324.0
1963,SD,sheriffs office,67,70.0,75.0
1963,TN,local police department,81,1979.0,2295.0
1963,TN,sheriffs office,94,240.0,277.0
1963,TX,local police department,314,7020.0,8186.0
1963,TX,sheriffs office,254,531.0,582.0
1963,UT,local police department,41,484.0,547.0
1963,UT,sheriffs office,28,64.0,72.0
1963,VA,local police department,76,2890.0,3186.0
1963,VA,sheriffs office,94,186.0,204.0
1963,VA,state law enforcement agency,1,0.0,0.0
1963,VT,local police department,25,146.0,153.0
1963,VT,sheriffs office,14,0.0,0.0
1963,VT,state law enforcement agency,1,0.0,0.0
1963,WA,local police department,78,2245.0,2563.0
1963,WA,sheriffs office,39,632.0,681.0
1963,WI,local police department,133,4039.0,4330.0
1963,WI,sheriffs office,72,614.0,655.0
1963,WV,local police department,58,438.0,476.0
1963,WV,sheriffs office,55,0.0,0.0
1963,WY,local police department,20,199.0,253.0
1963,WY,sheriffs office,23,61.0,69.0
1964,AK,local police department,6,104.0,137.0
1964,AK,state law enforcement agency,1,105.0,105.0
1964,AL,local police department,106,1368.0,1559.0
1964,AL,sheriffs office,67,188.0,258.0
1964,AR,local police department,66,617.0,672.0
1964,AR,sheriffs office,75,32.0,37.0
1964,AZ,local police department,33,1402.0,1640.0
1964,AZ,sheriffs office,14,560.0,571.0
1964,CA,local police department,364,15919.0,19243.0
1964,CA,sheriffs office,58,3503.0,4238.0
1964,CA,special jurisdiction,3,0.0,0.0
1964,CO,local police department,50,1560.0,1819.0
1964,CO,sheriffs office,63,236.0,259.0
